iter	MultiClass
0	1.033796213
1	0.9727005536
2	0.918072122
3	0.8679311542
4	0.8244486844
5	0.7851981289
6	0.7503494501
7	0.7182832449
8	0.6887212057
9	0.660741474
10	0.6348984007
11	0.6100151784
12	0.5874547499
13	0.5667507118
14	0.5468279174
15	0.5294006143
16	0.5118242574
17	0.4964074301
18	0.4815700609
19	0.468870146
20	0.4554598741
21	0.4435485034
22	0.4316679318
23	0.4213874471
24	0.4114415029
25	0.4022303832
26	0.393133048
27	0.3840655767
28	0.3766881499
29	0.3692870763
30	0.3623238391
31	0.3550195554
32	0.3485384742
33	0.3427768027
34	0.3372893483
35	0.332438991
36	0.3271877461
37	0.3219687989
38	0.3175067886
39	0.3130520737
40	0.3086691495
41	0.3050030264
42	0.3007490994
43	0.2970648717
44	0.294014391
45	0.289986427
46	0.2873023536
47	0.2856574054
48	0.2830142786
49	0.2798483151
50	0.2768075941
51	0.2757371247
52	0.2741865114
53	0.2712346637
54	0.2700534463
55	0.2688724486
56	0.2671118901
57	0.263945063
58	0.2631165424
59	0.2606776324
60	0.2579616994
61	0.2568078434
62	0.2558462097
63	0.2550242061
64	0.2522350634
65	0.2514574375
66	0.2502688155
67	0.2493398572
68	0.2487886994
69	0.2479900622
70	0.2467142379
71	0.2448201261
72	0.2433815544
73	0.2424147418
74	0.2416925401
75	0.2393479791
76	0.2386095584
77	0.2376532702
78	0.2366629077
79	0.2360970719
80	0.2347498446
81	0.2336746377
82	0.23307476
83	0.2322375038
84	0.2315305742
85	0.2306827329
86	0.2299988119
87	0.229115438
88	0.2283892989
89	0.2274958646
90	0.2271024777
91	0.2264557943
92	0.2257898638
93	0.2252282647
94	0.224391493
95	0.2225749971
96	0.2221649774
97	0.2215062659
98	0.2208982623
99	0.2201143027
100	0.2193743248
101	0.218467866
102	0.2162564573
103	0.2145624848
104	0.2130160729
105	0.2120049306
106	0.2112182635
107	0.2107147548
108	0.2100046206
109	0.2093227098
110	0.2087628796
111	0.2080086642
112	0.2073578496
113	0.2066140856
114	0.2056715289
115	0.2048214969
116	0.2040369052
117	0.2037840678
118	0.2031005096
119	0.2025139313
120	0.2018451268
121	0.2012320657
122	0.2001662988
123	0.199718407
124	0.197937389
125	0.1975106381
126	0.1969206795
127	0.1965841877
128	0.1951294131
129	0.1946250218
130	0.1941751165
131	0.1937899297
132	0.1923719272
133	0.1916459476
134	0.1912067676
135	0.1906536535
136	0.1898584683
137	0.1891270784
138	0.1888919155
139	0.1885049784
140	0.1879704966
141	0.1873094941
142	0.1868859503
143	0.1863277685
144	0.1857486466
145	0.1849647731
146	0.1846035645
147	0.1838613743
148	0.1824828413
149	0.1820839545
150	0.1815273948
151	0.1810846133
152	0.1804687418
153	0.178977251
154	0.1779099523
155	0.1774923482
156	0.1769476879
157	0.1764040942
158	0.1759448858
159	0.1747455656
160	0.1742637296
161	0.1736776341
162	0.1733318485
163	0.1729398542
164	0.1722669045
165	0.171590116
166	0.1701336688
167	0.1697156951
168	0.1690939044
169	0.1684761176
170	0.1678687555
171	0.1673633926
172	0.1667867676
173	0.1665043947
174	0.1658858264
175	0.1654162935
176	0.1650287777
177	0.1645871837
178	0.1639325746
179	0.1636988957
180	0.1630909628
181	0.1619403928
182	0.1615014737
183	0.1613105772
184	0.1608439225
185	0.1603596373
186	0.1599954946
187	0.1596681476
188	0.1594145485
189	0.1588900711
190	0.1587378319
191	0.1581803486
192	0.1578314862
193	0.156533698
194	0.1562293565
195	0.1559114933
196	0.1553503834
197	0.1548721176
198	0.1543775402
199	0.1541431606
200	0.1537958993
201	0.1533815378
202	0.1529782574
203	0.1517615958
204	0.151396857
205	0.1504476637
206	0.150060912
207	0.1495712497
208	0.1484020389
209	0.1473951878
210	0.1467177765
211	0.1462942904
