iter	Passed	Remaining
0	13	5442
1	23	4739
2	34	4542
3	45	4455
4	55	4396
5	66	4341
6	76	4267
7	86	4245
8	97	4223
9	107	4186
10	117	4158
11	128	4145
12	138	4118
13	147	4078
14	158	4062
15	167	4023
16	177	4007
17	187	3988
18	197	3955
19	207	3944
20	217	3919
21	226	3897
22	236	3877
23	246	3858
24	256	3849
25	266	3835
26	276	3826
27	286	3810
28	296	3797
29	307	3788
30	317	3777
31	327	3761
32	337	3748
33	347	3736
34	358	3739
35	369	3739
36	379	3726
37	389	3711
38	399	3697
39	409	3681
40	418	3668
41	428	3653
42	438	3640
43	448	3631
44	459	3622
45	469	3615
46	479	3601
47	489	3590
48	498	3573
49	508	3557
50	518	3545
51	527	3529
52	537	3517
53	548	3512
54	558	3506
55	568	3494
56	579	3486
57	589	3475
58	599	3462
59	608	3449
60	617	3433
61	627	3419
62	636	3405
63	645	3390
64	655	3378
65	664	3363
66	674	3350
67	683	3335
68	692	3324
69	702	3310
70	711	3297
71	721	3285
72	730	3271
73	739	3259
74	749	3246
75	759	3239
76	769	3227
77	778	3215
78	788	3205
79	798	3194
80	807	3181
81	817	3170
82	826	3157
83	836	3146
84	845	3132
85	854	3121
86	864	3110
87	873	3098
88	883	3087
89	892	3075
90	902	3063
91	911	3050
92	921	3040
93	930	3028
94	940	3018
95	949	3008
96	959	2996
97	969	2987
98	979	2979
99	989	2968
100	999	2959
101	1009	2948
102	1019	2939
103	1028	2928
104	1038	2918
105	1048	2907
106	1058	2897
107	1067	2885
108	1076	2873
109	1085	2862
110	1094	2850
111	1103	2838
112	1113	2827
113	1122	2815
114	1131	2803
115	1140	2793
116	1150	2782
117	1161	2775
118	1170	2764
119	1180	2754
120	1190	2744
121	1200	2734
122	1210	2725
123	1220	2716
124	1231	2708
125	1241	2700
126	1251	2690
127	1262	2682
128	1272	2673
129	1282	2664
130	1293	2655
131	1304	2648
132	1314	2639
133	1324	2628
134	1334	2620
135	1344	2609
136	1353	2599
137	1364	2590
138	1375	2581
139	1385	2572
140	1395	2563
141	1405	2554
142	1416	2545
143	1426	2536
144	1436	2526
145	1446	2516
146	1456	2507
147	1467	2497
148	1477	2488
149	1487	2478
150	1497	2469
151	1507	2458
152	1516	2447
153	1526	2437
154	1535	2427
155	1544	2416
156	1554	2406
157	1566	2399
158	1581	2397
159	1601	2401
160	1613	2395
161	1627	2390
162	1636	2380
163	1647	2370
164	1657	2360
165	1666	2349
166	1676	2339
167	1687	2330
168	1697	2320
169	1707	2310
170	1717	2300
171	1727	2289
172	1737	2280
173	1748	2270
174	1757	2259
175	1766	2247
176	1775	2236
177	1784	2225
178	1793	2214
179	1802	2202
180	1811	2192
181	1821	2182
182	1840	2183
183	1850	2171
184	1859	2160
185	1868	2149
186	1876	2137
187	1885	2126
188	1894	2115
189	1904	2104
190	1913	2093
191	1922	2082
192	1931	2071
193	1940	2060
194	1950	2050
195	1959	2039
196	1969	2029
197	1979	2019
198	1989	2009
199	1998	1998
200	2006	1987
201	2016	1976
202	2025	1965
203	2034	1954
204	2043	1943
205	2052	1932
206	2061	1921
207	2070	1911
208	2079	1900
209	2088	1889
210	2097	1878
211	2106	1868
212	2115	1857
213	2124	1846
214	2133	1836
215	2142	1825
216	2151	1814
217	2160	1803
218	2169	1793
219	2179	1782
220	2188	1772
221	2197	1762
222	2207	1751
223	2216	1741
224	2225	1730
225	2234	1720
226	2243	1709
227	2252	1699
228	2262	1689
229	2271	1678
230	2280	1668
231	2289	1658
232	2298	1647
233	2308	1637
234	2317	1627
235	2327	1617
236	2337	1607
237	2347	1597
238	2356	1587
239	2366	1577
240	2376	1567
241	2387	1558
242	2396	1548
243	2406	1538
244	2416	1528
245	2425	1518
246	2435	1508
247	2444	1498
248	2454	1488
249	2464	1478
250	2473	1468
251	2482	1458
252	2492	1447
253	2501	1437
254	2510	1427
255	2519	1417
256	2528	1406
257	2537	1396
258	2546	1386
259	2555	1375
260	2564	1365
261	2573	1355
262	2582	1345
263	2592	1335
264	2602	1325
265	2612	1315
266	2621	1305
267	2630	1295
268	2639	1285
269	2648	1275
270	2657	1264
271	2666	1254
272	2675	1244
273	2685	1234
274	2694	1224
275	2703	1214
276	2712	1204
277	2737	1201
278	2746	1191
279	2755	1180
280	2764	1170
281	2772	1160
282	2783	1150
283	2794	1141
284	2803	1131
285	2812	1121
286	2821	1110
287	2830	1100
288	2839	1090
289	2848	1080
290	2857	1070
291	2866	1060
292	2875	1049
293	2884	1039
294	2892	1029
295	2902	1019
296	2911	1009
297	2920	999
298	2929	989
299	2938	979
300	2947	969
301	2956	959
302	2966	949
303	2975	939
304	2985	929
305	2994	920
306	3003	909
307	3013	899
308	3022	890
309	3031	880
310	3040	870
311	3049	860
312	3058	850
313	3067	840
314	3076	830
315	3085	820
316	3094	810
317	3103	800
318	3112	790
319	3121	780
320	3131	770
321	3140	760
322	3149	750
323	3158	740
324	3168	731
325	3178	721
326	3188	711
327	3197	701
328	3207	692
329	3216	682
330	3225	672
331	3234	662
332	3244	652
333	3253	642
334	3262	632
335	3271	623
336	3281	613
337	3290	603
338	3300	593
339	3309	584
340	3319	574
341	3329	564
342	3339	554
343	3349	545
344	3359	535
345	3369	525
346	3379	516
347	3389	506
348	3398	496
349	3408	486
350	3418	477
351	3427	467
352	3436	457
353	3446	447
354	3456	438
355	3466	428
356	3476	418
357	3487	409
358	3497	399
359	3508	389
360	3518	380
361	3528	370
362	3538	360
363	3547	350
364	3557	341
365	3566	331
366	3577	321
367	3587	311
368	3597	302
369	3607	292
370	3618	282
371	3628	273
372	3638	263
373	3647	253
374	3656	243
375	3665	233
376	3674	224
377	3683	214
378	3692	204
379	3702	194
380	3711	185
381	3721	175
382	3730	165
383	3739	155
384	3748	146
385	3757	136
386	3766	126
387	3775	116
388	3784	107
389	3793	97
390	3802	87
391	3811	77
392	3820	68
393	3829	58
394	3838	48
395	3848	38
396	3857	29
397	3866	19
398	3875	9
399	3883	0
