iter	MultiClass
0	1.088981951
1	1.077692647
2	1.076368891
3	1.063370269
4	1.053268587
5	1.043277372
6	1.035089333
7	1.024261635
8	1.014252575
9	1.006808292
10	0.9968956389
11	0.9877811083
12	0.9810590064
13	0.9747175826
14	0.9634234713
15	0.9548250752
16	0.9459167261
17	0.9378341397
18	0.9252471661
19	0.9135177899
20	0.906396955
21	0.8971736621
22	0.8862552158
23	0.8735778071
24	0.8695773486
25	0.8588460645
26	0.851557578
27	0.8407199309
28	0.8288656408
29	0.8190882583
30	0.8139150877
31	0.808122581
32	0.795935625
33	0.7919357843
34	0.7832296156
35	0.7783129086
36	0.7692176005
37	0.7618816867
38	0.754883615
39	0.7437769006
40	0.735149471
41	0.7301998399
42	0.7221800826
43	0.7159873691
44	0.7101491344
45	0.6993675427
46	0.6921557199
47	0.6813532962
48	0.6768225108
49	0.6677943608
50	0.6605603727
51	0.6555648586
52	0.6451652451
53	0.6371866101
54	0.632135396
55	0.6264371794
56	0.6220750247
57	0.6183631368
58	0.6099276337
59	0.6035679245
60	0.5975406332
61	0.5928143872
62	0.5878479312
63	0.5821875972
64	0.5788081568
65	0.57480591
66	0.5709186005
67	0.5650813928
68	0.5610867367
69	0.5555169772
70	0.548556924
71	0.543580069
72	0.5383921198
73	0.5341054227
74	0.5316829972
75	0.5280106802
76	0.5222224556
77	0.5166485518
78	0.5092253886
79	0.5060757169
80	0.5036001393
81	0.4969352383
82	0.4940743895
83	0.4900273531
84	0.4844618066
85	0.480990065
86	0.4779285122
87	0.4737819725
88	0.4675013469
89	0.4650478437
90	0.4612031949
91	0.4581999692
92	0.4550002814
93	0.4508425039
94	0.445210549
95	0.440311126
96	0.4357956055
97	0.4324844943
98	0.4292720254
99	0.4268024638
