iter	Passed	Remaining
0	96	9551
1	102	5003
2	103	3335
3	108	2612
4	114	2171
5	119	1879
6	125	1671
7	131	1515
8	137	1389
9	143	1292
10	149	1208
11	154	1136
12	160	1077
13	167	1026
14	172	977
15	178	935
16	183	897
17	188	860
18	194	828
19	200	800
20	205	774
21	211	750
22	217	729
23	223	708
24	229	687
25	234	668
26	240	650
27	246	634
28	252	619
29	259	605
30	264	589
31	270	574
32	276	561
33	281	546
34	287	533
35	292	520
36	298	508
37	304	496
38	309	484
39	315	473
40	321	461
41	326	450
42	331	439
43	337	430
44	343	419
45	349	410
46	355	400
47	360	390
48	366	381
49	372	372
50	378	363
51	383	354
52	389	345
53	397	338
54	405	331
55	412	324
56	421	317
57	427	309
58	434	301
59	440	293
60	447	286
61	454	278
62	460	270
63	466	262
64	472	254
65	479	247
66	486	239
67	492	231
68	498	223
69	504	216
70	510	208
71	516	200
72	523	193
73	530	186
74	536	178
75	542	171
76	548	163
77	556	156
78	563	149
79	569	142
80	575	135
81	582	127
82	589	120
83	595	113
84	601	106
85	607	98
86	614	91
87	620	84
88	627	77
89	633	70
90	639	63
91	644	56
92	650	48
93	656	41
94	662	34
95	668	27
96	674	20
97	679	13
98	685	6
99	691	0
